Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
1196,김성래,1961년 12월 03일,우투우타,대구옥산초-경운중-경북고-연세대,84 삼성 1차,2000,SK,39,2B,29,0.31,0.13,75,75,64,7,17,0,0,2,23,8,0,0,9,2,0,19,1,0,0,0.266,0.373,0.359,0.732,-0.014,95.8,0.43
1354,장종훈,1968년 04월 10일,우투우타,세광중-세광고,86 빙그레 연습생 입단,2000,한화,32,1B,127,2.76,-1.85,512,507,447,66,118,19,0,28,221,81,1,3,52,11,5,114,15,0,2,0.264,0.354,0.494,0.848,0.005,110.1,0.91
1354,장종훈,1968년 04월 10일,우투우타,세광중-세광고,86 빙그레 연습생 입단,2001,한화,33,1B,120,1.86,-0.93,421,415,366,55,100,16,0,15,161,54,11,4,45,4,4,87,7,2,4,0.273,0.356,0.44,0.796,-0.004,103.3,0.93
1354,장종훈,1968년 04월 10일,우투우타,세광중-세광고,86 빙그레 연습생 입단,2002,한화,34,1B,101,1.09,-0.02,331,329,302,38,75,15,0,12,126,42,2,2,24,2,1,88,1,1,2,0.248,0.306,0.417,0.723,-0.021,91.0,1.07
1354,장종훈,1968년 04월 10일,우투우타,세광중-세광고,86 빙그레 연습생 입단,2003,한화,35,1B,83,0.43,-0.52,234,229,206,21,50,8,1,6,78,24,1,3,21,2,1,56,5,4,1,0.243,0.317,0.379,0.696,-0.024,82.2,-0.09
1354,장종훈,1968년 04월 10일,우투우타,세광중-세광고,86 빙그레 연습생 입단,2004,한화,36,1B,70,0.59,-0.4,165,163,153,21,39,10,0,6,67,27,0,1,10,0,0,31,4,2,0,0.255,0.301,0.438,0.739,-0.014,94.1,0.18
1354,장종훈,1968년 04월 10일,우투우타,세광중-세광고,86 빙그레 연습생 입단,2005,한화,37,1B,7,-0.12,0.01,11,11,11,1,1,0,0,1,4,1,0,0,0,0,0,3,0,0,0,0.091,0.091,0.364,0.455,-0.167,-32.8,-0.12
1380,김상호,1965년 10월 19일,우투우타,선린고-계명대,88 MBC 1차 3순위,2000,LG,35,RF,21,-0.25,0.04,41,40,31,4,2,1,0,0,3,2,0,0,9,0,0,14,0,1,0,0.065,0.275,0.097,0.372,-0.126,11.4,-0.22
1404,김응국,1966년 01월 14일,좌투좌타,동대문중-동대문상고-고려대,88 롯데 2차 2라운드,2000,롯데,34,RF,107,0.99,0.03,439,434,401,57,111,15,3,6,150,45,9,7,34,2,4,78,7,1,1,0.277,0.336,0.374,0.71,-0.026,86.5,1.03
1404,김응국,1966년 01월 14일,좌투좌타,동대문중-동대문상고-고려대,88 롯데 2차 2라운드,2001,롯데,35,1B,89,0.48,-0.54,300,296,274,35,76,10,1,4,100,33,2,0,21,2,3,44,7,1,2,0.277,0.331,0.365,0.696,-0.037,78.4,-0.06
1404,김응국,1966년 01월 14일,좌투좌타,동대문중-동대문상고-고려대,88 롯데 2차 2라운드,2002,롯데,36,1B,116,1.92,-0.4,412,408,373,35,106,15,3,3,136,49,12,5,34,2,2,58,8,2,1,0.284,0.346,0.365,0.711,-0.008,101.3,1.52
1404,김응국,1966년 01월 14일,좌투좌타,동대문중-동대문상고-고려대,88 롯데 2차 2라운드,2003,롯데,37,1B,51,0.07,-0.55,156,153,140,18,33,5,1,4,52,14,2,2,12,2,1,22,6,2,0,0.236,0.305,0.371,0.676,-0.04,69.4,-0.48
1421,강석천,1967년 12월 07일,우투우타,한밭중-대전고-인하대,89 빙그레 1차 3순위,2000,한화,33,3B,123,1.68,-1.36,487,480,433,57,124,24,2,7,173,49,15,8,34,10,2,61,18,5,5,0.286,0.349,0.4,0.749,-0.015,95.2,0.33
1421,강석천,1967년 12월 07일,우투우타,한밭중-대전고-인하대,89 빙그레 1차 3순위,2001,한화,34,3B,120,-0.23,-0.23,450,440,407,44,106,18,1,2,132,45,19,9,29,4,1,68,9,9,1,0.26,0.315,0.324,0.639,-0.053,66.6,-0.46
1421,강석천,1967년 12월 07일,우투우타,한밭중-대전고-인하대,89 빙그레 1차 3순위,2002,한화,35,3B,94,1.63,-0.4,266,265,242,27,70,11,1,6,101,28,7,3,20,2,0,51,9,1,1,0.289,0.347,0.417,0.764,0.006,113.6,1.23
1421,강석천,1967년 12월 07일,우투우타,한밭중-대전고-인하대,89 빙그레 1차 3순위,2003,한화,36,3B,8,-0.1,-0.11,19,19,18,0,3,2,0,0,5,3,0,0,1,0,0,5,1,0,0,0.167,0.211,0.278,0.489,-0.1,18.9,-0.21
1435,김인호,1967년 01월 26일,우투우타,여수중-진흥고-성균관대,89 롯데 2차 1라운드,2000,현대,33,LF,115,0.03,0.14,324,315,281,48,64,17,2,3,94,21,8,4,30,3,0,44,6,9,1,0.228,0.308,0.335,0.643,-0.053,66.5,0.18
1435,김인호,1967년 01월 26일,우투우타,여수중-진흥고-성균관대,89 롯데 2차 1라운드,2001,현대,34,LF,92,-0.51,-0.02,190,185,162,30,33,0,1,5,50,19,5,5,22,1,0,34,5,5,0,0.204,0.303,0.309,0.612,-0.07,54.3,-0.54
1436,김종석,1971년 02월 28일,좌투좌타,보성고,89 OB 고졸연고 지명,2000,한화,29,1B,80,1.28,-0.62,210,210,174,24,46,8,0,8,78,27,1,3,30,4,0,38,5,0,2,0.264,0.381,0.448,0.829,0.017,119.4,0.66
1436,김종석,1971년 02월 28일,좌투좌타,보성고,89 OB 고졸연고 지명,2001,한화,30,1B,116,3.97,-1.16,445,444,390,66,123,22,2,16,197,65,4,1,49,1,1,78,9,0,5,0.315,0.389,0.505,0.894,0.042,138.4,2.81
1436,김종석,1971년 02월 28일,좌투좌타,보성고,89 OB 고졸연고 지명,2002,한화,31,1B,77,-0.59,-0.52,209,208,186,21,35,9,0,2,50,14,4,4,22,0,1,41,6,0,1,0.188,0.273,0.269,0.542,-0.077,44.7,-1.11
1436,김종석,1971년 02월 28일,좌투좌타,보성고,89 OB 고졸연고 지명,2003,한화,32,1B,78,0.55,-0.63,182,179,152,11,36,6,0,3,51,17,0,3,28,1,2,36,6,1,0,0.237,0.359,0.336,0.695,-0.01,94.1,-0.08
1436,김종석,1971년 02월 28일,좌투좌타,보성고,89 OB 고졸연고 지명,2004,한화,33,1B,21,0.09,-0.01,37,37,31,2,6,3,0,0,9,2,0,0,6,0,0,11,0,0,0,0.194,0.324,0.29,0.614,-0.029,81.4,0.08
1450,이명수,1966년 07월 29일,우투우타,휘문중-휘문고-고려대,89 OB 2차 2라운드,2000,현대,34,2B,85,1.96,-0.01,236,232,206,26,69,10,2,4,95,39,1,3,22,2,1,24,7,3,3,0.335,0.399,0.461,0.86,0.04,136.9,1.95
1450,이명수,1966년 07월 29일,우투우타,휘문중-휘문고-고려대,89 OB 2차 2라운드,2001,현대,35,1B,91,0.51,-0.37,190,183,153,19,38,6,0,1,47,19,1,2,29,0,0,20,8,7,1,0.248,0.366,0.307,0.673,-0.019,92.5,0.15
1457,최훈재,1967년 01월 21일,좌투좌타,영일초-중앙중-중앙고-단국대,89 MBC 1차 2순위,2000,두산,33,1B,76,-0.59,-0.34,124,124,115,9,22,4,1,3,37,10,0,0,7,1,0,22,4,0,1,0.191,0.242,0.322,0.564,-0.107,24.0,-0.93
1457,최훈재,1967년 01월 21일,좌투좌타,영일초-중앙중-중앙고-단국대,89 MBC 1차 2순위,2001,두산,34,DH,90,0.29,-0.51,196,194,168,18,41,12,0,0,53,18,4,0,23,2,1,15,6,1,2,0.244,0.338,0.315,0.653,-0.041,75.7,-0.22
1497,김선진,1967년 05월 05일,우투우타,월산초-충장중-광주제일고-연세대,90 LG 2차 3라운드,2000,LG,33,1B,25,-0.25,0.06,78,77,69,9,14,2,1,1,21,10,1,1,7,0,0,14,0,1,1,0.203,0.273,0.304,0.577,-0.086,40.9,-0.19
1499,홍현우,1972년 09월 28일,우투우타,광주상고,90 해태 고졸연고 자유계약,2000,해태,28,3B,88,1.96,-0.35,361,356,291,42,68,16,2,14,130,50,12,7,62,5,5,63,11,0,3,0.234,0.374,0.447,0.821,0.008,112.6,1.61
1499,홍현우,1972년 09월 28일,우투우타,광주상고,90 해태 고졸연고 자유계약,2001,LG,29,3B,60,-0.51,-0.04,213,211,182,18,36,9,0,2,51,16,1,1,27,3,2,35,4,0,1,0.198,0.31,0.28,0.59,-0.076,48.9,-0.55
1499,홍현우,1972년 09월 28일,우투우타,광주상고,90 해태 고졸연고 자유계약,2002,LG,30,3B,25,-0.94,0.06,76,75,68,3,8,3,0,1,14,8,0,1,3,2,0,16,1,1,2,0.118,0.173,0.206,0.379,-0.173,-33.8,-0.88
1499,홍현우,1972년 09월 28일,우투우타,광주상고,90 해태 고졸연고 자유계약,2003,LG,31,3B,97,1.2,-0.2,333,328,286,34,68,12,3,9,113,27,1,1,37,4,0,61,9,5,1,0.238,0.332,0.395,0.727,-0.012,92.2,1.0
1499,홍현우,1972년 09월 28일,우투우타,광주상고,90 해태 고졸연고 자유계약,2004,LG,32,3B,39,-0.52,0.2,107,105,95,11,17,5,0,2,28,12,0,0,7,0,0,31,0,2,3,0.179,0.229,0.295,0.524,-0.103,21.9,-0.32
1499,홍현우,1972년 09월 28일,우투우타,광주상고,90 해태 고졸연고 자유계약,2005,KIA,33,3B,25,-0.07,0.16,64,62,59,6,13,3,0,1,19,1,0,0,3,0,0,16,0,2,0,0.22,0.258,0.322,0.58,-0.067,52.7,0.1
1500,이호성,1967년 07월 17일,우투우타,광주서석초-충장중-광주제일고-연세대,90 해태 1차,2000,해태,33,RF,117,2.07,-0.07,468,467,397,52,96,25,0,8,145,57,13,1,65,4,1,102,8,0,2,0.242,0.353,0.365,0.718,-0.013,96.4,2.0
