game_id,away_starter,home_starter,season,home_team,away_team,away_sp_era_actual,away_sp_fip_actual,away_sp_war_actual,away_sp_whip_actual,away_sp_gs
20010405LGSK0,해리거,ID_71829,2001,SSG,LG,4.62,4.48,2.67,1.49,28.0
20010405HTOB0,최상덕,ID_89670,2001,두산,KIA,4.07,4.4,2.41,1.25,18.0
20010405HTOB0,최상덕,ID_89670,2001,두산,KIA,4.76,4.98,1.28,1.41,11.0
20010405LTHD0,기론,ID_97133,2001,Heroes,롯데,5.48,5.48,0.33,1.51,9.0
20010405HHSS0,송진우,ID_95657,2001,삼성,한화,3.84,4.44,3.6,1.44,24.0
20010406HHSS0,에반스,ID_98451,2001,삼성,한화,13.5,9.86,-0.17,1.88,1.0
20010406LGSK0,김상태,ID_70820,2001,SSG,LG,4.91,6.1,0.35,1.77,3.0
20010406HTOB0,김주철,ID_99245,2001,두산,KIA,8.65,8.12,-0.38,2.04,7.0
20010406HTOB0,김주철,ID_99245,2001,두산,KIA,9.0,9.43,-0.09,1.86,1.0
20010406LTHD0,주형광,ID_98330,2001,Heroes,롯데,15.0,17.91,-0.13,3.33,2.0
20010407HDHT0,테일러,ID_93817,2001,KIA,Heroes,4.75,5.24,2.14,1.71,27.0
20010407SKHH0,김원형,ID_70755,2001,한화,SSG,4.37,4.65,2.34,1.37,25.0
20010407OBLG0,정진용,ID_92302,2001,LG,두산,5.13,5.03,0.8,1.59,13.0
20010407SSLT0,이강철,ID_97571,2001,롯데,삼성,6.07,3.76,0.25,1.42,4.0
20010408HDHT0,박장희,ID_97621,2001,KIA,Heroes,5.53,5.57,0.59,1.45,12.0
20010408SKHH0,김건한,ID_88770,2001,한화,SSG,7.17,6.68,-0.36,1.59,8.0
20010408OBLG0,이광우,ID_71123,2001,LG,두산,5.4,6.13,0.61,1.63,8.0
20010408SSLT0,이용훈,ID_97236,2001,롯데,삼성,5.53,4.94,0.27,1.65,16.0
20010410LTHT0,기론,ID_71653,2001,KIA,롯데,5.48,5.48,0.33,1.51,9.0
20010410SSSK0,임창용,ID_71829,2001,SSG,삼성,3.9,4.52,4.68,1.25,29.0
20010410HHLG0,이상목,ID_70143,2001,LG,한화,4.9,4.11,0.69,1.52,12.0
20010410OBHD0,파머,ID_97133,2001,Heroes,두산,9.0,6.99,-0.22,2.18,3.0
20010411LTHT0,박석진,ID_94330,2001,KIA,롯데,2.98,3.72,4.57,1.21,11.0
20010412SSSK1,김진웅,ID_91848,2001,SSG,삼성,3.96,3.78,3.79,1.37,14.0
20010412HHLG1,조규수,ID_97111,2001,LG,한화,4.24,5.03,2.8,1.63,21.0
20010412OBHD1,조계현,ID_98330,2001,Heroes,두산,5.28,4.72,0.84,1.52,18.0
20010412OBHD2,구자운,ID_71339,2001,Heroes,두산,4.8,5.16,0.53,1.55,12.0
20010412HHLG2,송진우,ID_97126,2001,LG,한화,3.84,4.44,3.6,1.44,24.0
20010412LTHT0,주형광,ID_71661,2001,KIA,롯데,15.0,17.91,-0.13,3.33,2.0
20010412SSSK2,이강철,ID_70820,2001,SSG,삼성,6.07,3.76,0.25,1.42,4.0
20010413HDSK0,박장희,ID_71851,2001,SSG,Heroes,5.53,5.57,0.59,1.45,12.0
20010413LGSS0,안병원,ID_70434,2001,삼성,LG,7.39,5.74,-0.72,1.85,16.0
20010413LTOB0,손민한,ID_70249,2001,두산,롯데,4.21,4.49,3.58,1.46,29.0
20010413HTHH0,성영재,ID_88770,2001,한화,KIA,5.8,4.86,0.2,1.54,3.0
20010413HTHH0,성영재,ID_88770,2001,한화,KIA,5.61,4.68,0.25,1.36,0.0
20010414LGSS0,발데스,ID_90213,2001,삼성,LG,4.65,5.31,2.31,1.54,29.0
20010414HDSK0,전준호,ID_96849,2001,SSG,Heroes,5.09,4.6,1.79,1.51,25.0
20010414LTOB0,김영수,ID_98259,2001,두산,롯데,6.27,5.76,-0.08,1.76,14.0
20010414HTHH0,오철민,ID_99737,2001,한화,KIA,4.78,5.02,0.85,1.44,11.0
20010415HDSK0,마일영,ID_71829,2001,SSG,Heroes,3.96,4.29,2.93,1.56,22.0
20010415LGSS0,해리거,ID_95657,2001,삼성,LG,4.62,4.48,2.67,1.49,28.0
20010415LTOB0,기론,ID_70220,2001,두산,롯데,5.48,5.48,0.33,1.51,9.0
20010415HTHH0,루이스,ID_90853,2001,한화,KIA,3.0,4.24,0.83,1.5,4.0
20010417SSOB0,김진웅,ID_99245,2001,두산,삼성,3.96,3.78,3.79,1.37,14.0
20010417SKHT0,이승호,ID_94330,2001,KIA,SSG,3.55,4.78,5.37,1.43,33.0
20010417LGLT0,장문석,ID_95459,2001,롯데,LG,7.74,6.53,-0.33,1.98,10.0
20010417HHHD0,조규수,ID_71339,2001,Heroes,한화,4.24,5.03,2.8,1.63,21.0
20010418SKHT0,김원형,ID_71661,2001,KIA,SSG,4.37,4.65,2.34,1.37,25.0
20010418SSOB0,이강철,ID_89670,2001,두산,삼성,6.07,3.76,0.25,1.42,4.0
20010418LGLT0,이승호,ID_97571,2001,롯데,LG,12.74,8.57,-0.55,2.72,1.0
20010418HHHD0,송진우,ID_98330,2001,Heroes,한화,3.84,4.44,3.6,1.44,24.0
20010419SKHT0,김건한,ID_93817,2001,KIA,SSG,7.17,6.68,-0.36,1.59,8.0
20010419SSOB0,이용훈,ID_70249,2001,두산,삼성,5.53,4.94,0.27,1.65,16.0
20010419LGLT0,발데스,ID_97236,2001,롯데,LG,4.65,5.31,2.31,1.54,29.0
20010419HHHD0,한용덕,ID_99360,2001,Heroes,한화,3.56,3.44,3.92,1.27,23.0
20010420OBHH0,이혜천,ID_99737,2001,한화,두산,3.62,4.68,2.68,1.58,10.0
20010420SKSS0,에르난데스,ID_95657,2001,삼성,SSG,3.89,4.08,5.4,1.42,34.0
20010420HTLG0,오철민,ID_70143,2001,LG,KIA,4.78,5.02,0.85,1.44,11.0
20010420HDLT0,전준호,ID_71550,2001,롯데,Heroes,5.09,4.6,1.79,1.51,25.0
20010421HTLG0,루이스,ID_92302,2001,LG,KIA,3.0,4.24,0.83,1.5,4.0
20010421OBHH0,파머,ID_90853,2001,한화,두산,9.0,6.99,-0.22,2.18,3.0
20010421SKSS0,정수찬,ID_70425,2001,삼성,SSG,8.59,6.0,-0.35,1.77,4.0
20010421HDLT0,마일영,ID_99548,2001,롯데,Heroes,3.96,4.29,2.93,1.56,22.0
20010422OBHH0,구자운,ID_70755,2001,한화,두산,4.8,5.16,0.53,1.55,12.0
20010422SKSS0,이승호,ID_98451,2001,삼성,SSG,3.55,4.78,5.37,1.43,33.0
20010422HTLG0,최상덕,ID_97126,2001,LG,KIA,4.07,4.4,2.41,1.25,18.0
20010422HTLG0,최상덕,ID_97126,2001,LG,KIA,4.76,4.98,1.28,1.41,11.0
20010422HDLT0,테일러,ID_95459,2001,롯데,Heroes,4.75,5.24,2.14,1.71,27.0
20010424HHSK0,송진우,ID_91848,2001,SSG,한화,3.84,4.44,3.6,1.44,24.0
20010424LTSS0,손민한,ID_70434,2001,삼성,롯데,4.21,4.49,3.58,1.46,29.0
20010424HDLG0,김수경,ID_71123,2001,LG,Heroes,5.2,5.49,1.06,1.56,18.0
20010425HHSK0,한용덕,ID_71829,2001,SSG,한화,3.56,3.44,3.92,1.27,23.0
20010425LTSS0,박지철,ID_95657,2001,삼성,롯데,4.03,4.14,4.02,1.44,26.0
20010425OBHT0,이혜천,ID_97621,2001,KIA,두산,3.62,4.68,2.68,1.58,10.0
20010425HDLG0,전준호,ID_70143,2001,LG,Heroes,5.09,4.6,1.79,1.51,25.0
20010426HHSK0,지승민,ID_71851,2001,SSG,한화,8.51,7.08,-0.65,1.76,3.0
20010426LTSS0,강민영,ID_70425,2001,삼성,롯데,6.32,5.01,0.08,1.66,4.0
20010426OBHT0,박명환,ID_71653,2001,KIA,두산,4.29,3.3,1.33,1.38,5.0
20010426HDLG0,마일영,ID_92302,2001,LG,Heroes,3.96,4.29,2.93,1.56,22.0
20010427HTLT0,최상덕,ID_95459,2001,롯데,KIA,4.07,4.4,2.41,1.25,18.0
20010427HTLT0,최상덕,ID_95459,2001,롯데,KIA,4.76,4.98,1.28,1.41,11.0
20010427LGHH0,장문석,ID_90853,2001,한화,LG,7.74,6.53,-0.33,1.98,10.0
20010427SKOB0,이승호,ID_99245,2001,두산,SSG,3.55,4.78,5.37,1.43,33.0
20010427SSHD0,김진웅,ID_71339,2001,Heroes,삼성,3.96,3.78,3.79,1.37,14.0
20010428HTLT0,유동훈,ID_97571,2001,롯데,KIA,7.5,4.94,-0.53,1.71,9.0
20010428HTLT0,유동훈,ID_97571,2001,롯데,KIA,0.0,3.54,-0.02,4.5,0.0
20010428LGHH0,신윤호,ID_70755,2001,한화,LG,3.12,4.03,4.37,1.44,4.0
20010428SKOB0,정수찬,ID_95511,2001,두산,SSG,8.59,6.0,-0.35,1.77,4.0
20010428SSHD0,토레스,ID_99360,2001,Heroes,삼성,20.25,9.24,-0.25,3.38,2.0
20010429SKOB0,김원형,ID_89670,2001,두산,SSG,4.37,4.65,2.34,1.37,25.0
20010429SSHD0,이용훈,ID_98330,2001,Heroes,삼성,5.53,4.94,0.27,1.65,16.0
20010430LGHH0,김상태,ID_89770,2001,한화,LG,4.91,6.1,0.35,1.77,3.0
20010501HHHT0,한용덕,ID_97621,2001,KIA,한화,3.56,3.44,3.92,1.27,23.0
20010501OBSS0,이혜천,ID_95657,2001,삼성,두산,3.62,4.68,2.68,1.58,10.0
20010501LTLG0,김영수,ID_70143,2001,LG,롯데,6.27,5.76,-0.08,1.76,14.0
20010501SKHD0,에르난데스,ID_94364,2001,Heroes,SSG,3.89,4.08,5.4,1.42,34.0
20010502HHHT0,지승민,ID_95601,2001,KIA,한화,8.51,7.08,-0.65,1.76,3.0
20010502OBSS0,박명환,ID_70425,2001,삼성,두산,4.29,3.3,1.33,1.38,5.0
20010502LTLG0,기론,ID_92302,2001,LG,롯데,5.48,5.48,0.33,1.51,9.0
20010502SKHD0,김건한,ID_70329,2001,Heroes,SSG,7.17,6.68,-0.36,1.59,8.0
20010503HHHT0,이상목,ID_94330,2001,KIA,한화,4.9,4.11,0.69,1.52,12.0
20010503OBSS0,구자운,ID_71441,2001,삼성,두산,4.8,5.16,0.53,1.55,12.0
20010503LTLG0,박지철,ID_94126,2001,LG,롯데,4.03,4.14,4.02,1.44,26.0
20010503SKHD0,이승호,ID_71339,2001,Heroes,SSG,3.55,4.78,5.37,1.43,33.0
20010504HDSS0,박장희,ID_90213,2001,삼성,Heroes,5.53,5.57,0.59,1.45,12.0
20010504HTSK0,소소경,ID_91848,2001,SSG,KIA,1.69,6.22,0.09,1.31,1.0
20010504LTHH0,손민한,ID_70755,2001,한화,롯데,4.21,4.49,3.58,1.46,29.0
20010504LGOB0,이동현,ID_89670,2001,두산,LG,5.37,5.69,0.54,1.76,19.0
20010505HDSS0,김수경,ID_89620,2001,삼성,Heroes,5.2,5.49,1.06,1.56,18.0
20010505HTSK0,유동훈,ID_96849,2001,SSG,KIA,7.5,4.94,-0.53,1.71,9.0
20010505HTSK0,유동훈,ID_96849,2001,SSG,KIA,0.0,3.54,-0.02,4.5,0.0
20010505LTHH0,박석진,ID_89770,2001,한화,롯데,2.98,3.72,4.57,1.21,11.0
20010505LGOB0,발데스,ID_70249,2001,두산,LG,4.65,5.31,2.31,1.54,29.0
