game_id,away_starter,home_starter,away_sp_era_actual,away_sp_fip_actual,away_sp_war_actual,away_sp_whip_actual,away_sp_gs,home_sp_era_actual,home_sp_fip_actual,home_sp_war_actual,home_sp_whip_actual,home_sp_gs
20010405LGSK0,해리거,에르난데스,4.62,4.48,2.67,1.49,28.0,3.89,4.08,5.4,1.42,34.0
20010405HTOB0,최상덕,조계현,4.76,4.98,1.28,1.41,11.0,5.28,4.72,0.84,1.52,18.0
20010405LTHD0,기론,임선동,5.48,5.48,0.33,1.51,9.0,4.4,3.97,3.05,1.53,24.0
20010405HHSS0,송진우,임창용,3.84,4.44,3.6,1.44,24.0,3.9,4.52,4.68,1.25,29.0
20010406HHSS0,에반스,김진웅,13.5,9.86,-0.17,1.88,1.0,3.96,3.78,3.79,1.37,14.0
20010406LGSK0,김상태,이승호,4.91,6.1,0.35,1.77,3.0,3.55,4.78,5.37,1.43,33.0
20010406HTOB0,김주철,구자운,9.0,9.43,-0.09,1.86,1.0,4.8,5.16,0.53,1.55,12.0
20010406LTHD0,주형광,김수경,15.0,17.91,-0.13,3.33,2.0,5.2,5.49,1.06,1.56,18.0
20010407HDHT0,테일러,성영재,4.75,5.24,2.14,1.71,27.0,5.61,4.68,0.25,1.36,0.0
20010407SKHH0,김원형,조규수,4.37,4.65,2.34,1.37,25.0,4.24,5.03,2.8,1.63,21.0
20010407OBLG0,정진용,안병원,5.13,5.03,0.8,1.59,13.0,7.39,5.74,-0.72,1.85,16.0
20010407SSLT0,이강철,손민한,6.07,3.76,0.25,1.42,4.0,4.21,4.49,3.58,1.46,29.0
20010408HDHT0,박장희,오철민,5.53,5.57,0.59,1.45,12.0,,,,,
20010408SKHH0,김건한,한용덕,7.17,6.68,-0.36,1.59,8.0,3.56,3.44,3.92,1.27,23.0
20010408OBLG0,이광우,발데스,5.4,6.13,0.61,1.63,8.0,4.65,5.31,2.31,1.54,29.0
20010408SSLT0,이용훈,김영수,5.53,4.94,0.27,1.65,16.0,6.27,5.76,-0.08,1.76,14.0
20010410LTHT0,기론,루이스,5.48,5.48,0.33,1.51,9.0,,,,,
20010410SSSK0,임창용,에르난데스,3.9,4.52,4.68,1.25,29.0,3.89,4.08,5.4,1.42,34.0
20010410HHLG0,이상목,해리거,4.9,4.11,0.69,1.52,12.0,4.62,4.48,2.67,1.49,28.0
20010410OBHD0,파머,임선동,9.0,6.99,-0.22,2.18,3.0,4.4,3.97,3.05,1.53,24.0
20010411LTHT0,박석진,최상덕,2.98,3.72,4.57,1.21,11.0,4.76,4.98,1.28,1.41,11.0
20010412LTHT0,주형광,김주철,15.0,17.91,-0.13,3.33,2.0,9.0,9.43,-0.09,1.86,1.0
20010412SSSK1,김진웅,김원형,3.96,3.78,3.79,1.37,14.0,4.37,4.65,2.34,1.37,25.0
20010412HHLG1,조규수,김민기,4.24,5.03,2.8,1.63,21.0,5.18,4.53,0.91,1.6,8.0
20010412OBHD1,조계현,김수경,5.28,4.72,0.84,1.52,18.0,5.2,5.49,1.06,1.56,18.0
20010412OBHD2,구자운,테일러,4.8,5.16,0.53,1.55,12.0,4.75,5.24,2.14,1.71,27.0
20010412HHLG2,송진우,장문석,3.84,4.44,3.6,1.44,24.0,7.74,6.53,-0.33,1.98,10.0
20010412SSSK2,이강철,이승호,6.07,3.76,0.25,1.42,4.0,3.55,4.78,5.37,1.43,33.0
20010413HDSK0,박장희,김건한,5.53,5.57,0.59,1.45,12.0,7.17,6.68,-0.36,1.59,8.0
20010413LGSS0,안병원,이용훈,7.39,5.74,-0.72,1.85,16.0,5.53,4.94,0.27,1.65,16.0
20010413LTOB0,손민한,정진용,4.21,4.49,3.58,1.46,29.0,5.13,5.03,0.8,1.59,13.0
20010413HTHH0,성영재,한용덕,5.61,4.68,0.25,1.36,0.0,3.56,3.44,3.92,1.27,23.0
20010414LGSS0,발데스,김상진,4.65,5.31,2.31,1.54,29.0,7.04,6.38,-0.1,1.96,3.0
20010414HDSK0,전준호,정수찬,5.09,4.6,1.79,1.51,25.0,8.59,6.0,-0.35,1.77,4.0
20010414LTOB0,김영수,이혜천,6.27,5.76,-0.08,1.76,14.0,3.62,4.68,2.68,1.58,10.0
20010414HTHH0,오철민,박정진,,,,,,4.74,4.45,0.8,1.47,6.0
20010415HDSK0,마일영,에르난데스,3.96,4.29,2.93,1.56,22.0,3.89,4.08,5.4,1.42,34.0
20010415LGSS0,해리거,임창용,4.62,4.48,2.67,1.49,28.0,3.9,4.52,4.68,1.25,29.0
20010415LTOB0,기론,파머,5.48,5.48,0.33,1.51,9.0,9.0,6.99,-0.22,2.18,3.0
20010415HTHH0,루이스,이상목,,,,,,4.9,4.11,0.69,1.52,12.0
20010417SSOB0,김진웅,구자운,3.96,3.78,3.79,1.37,14.0,4.8,5.16,0.53,1.55,12.0
