Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
1259,김용수,1960년 05월 02일,우투우타,홍릉초-동대문중-동대문상고-중앙대,85 MBC 1차 2순위,2000,LG,40,P,32,19,13,10,0,0,6,4,4,1,127.0,74,83,83.0,556,142,,,10,42,9,2,85,,0,4,5.24,5.88,5.88,4.09,1.45,0.58
1314,김정수,1962년 07월 24일,좌투우타,광주남초-전남중-진흥고-연세대,86 해태 1차,2000,SK,38,P,50,0,50,2,0,0,1,4,0,3,31.0,26,26,26.0,141,40,,,5,14,3,0,23,,0,1,7.55,7.55,7.55,5.39,1.74,-0.14
1314,김정수,1962년 07월 24일,좌투우타,광주남초-전남중-진흥고-연세대,86 해태 1차,2001,한화,39,P,52,0,52,12,0,0,2,2,1,10,43.2,18,24,24.0,192,36,,,6,19,5,3,45,,1,4,3.71,4.95,4.95,4.09,1.26,0.82
1314,김정수,1962년 07월 24일,좌투우타,광주남초-전남중-진흥고-연세대,86 해태 1차,2002,한화,40,P,47,0,47,6,0,0,1,2,1,12,25.0,9,10,10.0,104,21,,,3,8,4,2,29,,0,3,3.24,3.6,3.6,3.25,1.16,0.64
1314,김정수,1962년 07월 24일,좌투우타,광주남초-전남중-진흥고-연세대,86 해태 1차,2003,한화,41,P,3,0,3,0,0,0,0,0,0,0,1.0,0,0,0.0,5,1,,,0,1,0,0,0,,0,1,0.0,0.0,0.0,6.28,2.0,0.08
1314,김정수,1962년 07월 24일,좌투우타,광주남초-전남중-진흥고-연세대,86 해태 1차,2003,SK,41,P,33,0,33,1,0,0,0,0,0,8,12.0,6,6,6.0,57,17,,,0,5,3,2,3,,0,1,4.5,4.5,4.5,4.1,1.83,0.18
1365,송유석,1966년 07월 16일,우투우타,진흥고,85 해태 신고선수,2000,한화,34,P,38,0,38,17,0,0,1,4,2,2,64.0,38,48,48.0,312,70,,,8,42,14,1,21,,0,4,5.34,6.75,6.75,6.96,1.75,0.16
1365,송유석,1966년 07월 16일,우투우타,진흥고,85 해태 신고선수,2001,한화,35,P,4,0,4,1,0,0,0,0,0,0,3.0,4,5,5.0,17,4,,,1,3,1,0,1,,0,0,12.0,15.0,15.0,10.81,2.33,-0.11
1370,최창호,1966년 11월 08일,좌투좌타,대구옥산초-대구중-경북고,87 청보 2차 3라운드,2000,LG,34,P,28,0,28,0,0,0,0,0,0,5,9.1,11,11,11.0,52,14,,,1,10,0,1,7,,0,0,10.61,10.61,10.61,6.02,2.57,-0.22
1370,최창호,1966년 11월 08일,좌투좌타,대구옥산초-대구중-경북고,87 청보 2차 3라운드,2001,LG,35,P,54,0,54,8,0,0,2,1,0,6,35.1,23,27,27.0,161,43,,,6,11,1,0,25,,0,5,5.86,6.88,6.88,4.84,1.53,-0.03
1370,최창호,1966년 11월 08일,좌투좌타,대구옥산초-대구중-경북고,87 청보 2차 3라운드,2002,LG,36,P,19,0,19,1,0,0,0,0,0,2,12.0,9,9,9.0,55,13,,,1,7,3,0,11,,0,1,6.75,6.75,6.75,4.76,1.67,-0.07
1408,박정현,1969년 07월 10일,우언우타,수원북중-유신고,88 태평양 고졸연고 자유계약,2000,SK,31,P,32,4,28,14,0,0,1,2,0,0,56.1,36,39,39.0,275,75,,,7,33,5,5,24,,0,4,5.75,6.23,6.23,5.86,1.92,0.24
1426,이광우,1965년 03월 14일,우투우타,군산초-군산중-군산상고-원광대,89 해태 1차,2000,두산,35,P,29,24,5,3,2,1,11,3,1,0,150.2,62,72,72.0,629,169,,,18,30,6,1,76,,0,1,3.7,4.3,4.3,4.51,1.32,3.18
1426,이광우,1965년 03월 14일,우투우타,군산초-군산중-군산상고-원광대,89 해태 1차,2001,두산,36,P,29,8,21,7,0,0,2,3,0,0,58.1,35,35,35.0,264,70,,,9,25,7,0,22,,0,2,5.4,5.4,5.4,6.13,1.63,0.61
1426,이광우,1965년 03월 14일,우투우타,군산초-군산중-군산상고-원광대,89 해태 1차,2002,LG,37,P,4,0,4,1,0,0,0,0,0,0,5.1,7,7,7.0,27,9,,,3,1,1,0,3,,0,0,11.81,11.81,11.81,9.93,1.88,-0.17
1464,정명원,1966년 06월 14일,우투우타,군산남초-군산남중-군산상고-원광대,89 태평양 2차 2라운드,2000,현대,34,P,16,11,5,4,0,0,5,2,0,0,61.0,27,35,35.0,267,75,,,2,21,4,0,34,,1,1,3.98,5.16,5.16,3.89,1.57,0.66
1467,강태원,1971년 05월 15일,좌투좌타,화순중-순천상고,89 해태 고졸연고 자유계약,2000,해태,29,P,50,2,48,7,0,0,0,2,0,6,33.0,16,18,18.0,137,29,,,6,14,2,0,38,,0,0,4.36,4.91,4.91,4.41,1.3,0.58
1467,강태원,1971년 05월 15일,좌투좌타,화순중-순천상고,89 해태 고졸연고 자유계약,2001,해태,30,P,15,1,14,0,0,0,0,3,0,0,10.1,10,10,10.0,50,14,,,3,6,2,0,8,,0,0,8.71,8.71,8.71,7.46,1.94,-0.11
1472,김상엽,1970년 05월 11일,우투우타,경복중-대구고,89 삼성 고졸연고 지명 3,2000,LG,30,P,2,2,0,0,0,0,0,2,0,0,6.2,8,8,8.0,35,12,,,1,6,0,1,2,,0,0,10.8,10.8,10.8,6.99,2.7,-0.17
1539,박동희,1968년 01월 04일,우투우타,부산고-고려대,86 롯데 1차,2000,삼성,32,P,19,8,11,4,1,1,4,0,0,0,57.1,35,40,40.0,267,66,,,6,31,6,0,37,,1,1,5.49,6.28,6.28,5.26,1.69,0.3
1539,박동희,1968년 01월 04일,우투우타,부산고-고려대,86 롯데 1차,2001,삼성,33,P,18,5,13,4,0,0,2,2,0,0,45.1,31,37,37.0,208,54,,,10,22,0,0,22,,2,2,6.15,7.35,7.35,6.46,1.68,-0.06
1553,이상목,1971년 04월 25일,우투우타,대구수창초-경복중,90 삼성 고졸연고 지명 7,2000,한화,29,P,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,5,2,,,0,0,0,0,1,,0,0,0.0,0.0,0.0,1.13,2.0,0.08
1553,이상목,1971년 04월 25일,우투우타,대구수창초-경복중,90 삼성 고졸연고 지명 7,2001,한화,30,P,40,12,28,12,0,0,7,8,5,3,101.0,55,69,69.0,456,125,,,12,29,5,6,69,,0,2,4.9,6.15,6.15,4.11,1.52,0.69
1553,이상목,1971년 04월 25일,우투우타,대구수창초-경복중,90 삼성 고졸연고 지명 7,2002,한화,31,P,30,6,24,9,0,0,0,7,3,2,62.0,42,43,43.0,269,70,,,13,12,4,1,47,,0,1,6.1,6.24,6.24,4.83,1.32,-0.04
1553,이상목,1971년 04월 25일,우투우타,대구수창초-경복중,90 삼성 고졸연고 지명 7,2003,한화,32,P,33,29,4,3,1,1,15,7,1,1,185.1,73,78,78.0,774,203,,,18,29,4,2,118,,1,2,3.54,3.79,3.79,3.26,1.25,4.76
1553,이상목,1971년 04월 25일,우투우타,대구수창초-경복중,90 삼성 고졸연고 지명 7,2004,롯데,33,P,19,18,1,1,0,0,3,9,0,0,87.2,49,58,58.0,391,112,,,16,16,7,0,51,,0,2,5.03,5.95,5.95,4.91,1.46,0.07
1553,이상목,1971년 04월 25일,우투우타,대구수창초-경복중,90 삼성 고졸연고 지명 7,2005,롯데,34,P,17,17,0,0,0,0,6,7,0,0,101.1,34,35,35.0,403,88,,,8,16,7,2,69,,0,0,3.02,3.11,3.11,3.32,1.03,3.14
1553,이상목,1971년 04월 25일,우투우타,대구수창초-경복중,90 삼성 고졸연고 지명 7,2006,롯데,35,P,23,23,0,1,1,0,12,8,0,0,138.2,50,63,63.0,566,132,,,17,23,5,0,50,,0,2,3.25,4.09,4.09,4.27,1.12,1.68
1553,이상목,1971년 04월 25일,우투우타,대구수창초-경복중,90 삼성 고졸연고 지명 7,2007,롯데,36,P,11,8,3,0,0,0,1,4,0,0,37.2,28,30,30.0,178,56,,,4,13,1,1,14,,1,3,6.69,7.17,7.17,4.6,1.83,-0.4
1553,이상목,1971년 04월 25일,우투우타,대구수창초-경복중,90 삼성 고졸연고 지명 7,2008,삼성,37,P,31,21,10,4,0,0,6,6,0,1,124.2,74,79,79.0,544,152,,,8,29,9,0,53,,0,6,5.34,5.7,5.7,4.16,1.45,0.31
1554,이상훈,1971년 03월 21일,우투우타,경북고,90 삼성 고졸연고 지명,2000,두산,29,P,40,6,34,15,0,0,4,4,2,0,88.2,59,63,63.0,416,103,,,7,40,9,2,63,,0,5,5.99,6.39,6.39,4.43,1.61,0.1
1554,이상훈,1971년 03월 21일,우투우타,경북고,90 삼성 고졸연고 지명,2001,두산,30,P,20,0,20,6,0,0,0,0,0,2,34.0,31,34,34.0,162,43,,,6,15,2,0,15,,0,4,8.21,9.0,9.0,6.09,1.71,-0.5
1554,이상훈,1971년 03월 21일,우투우타,경북고,90 삼성 고졸연고 지명,2002,두산,31,P,70,8,62,19,0,0,4,10,2,6,133.2,58,59,59.0,567,129,,,9,40,10,5,93,,0,6,3.91,3.97,3.97,3.59,1.26,2.56
1554,이상훈,1971년 03월 21일,우투우타,경북고,90 삼성 고졸연고 지명,2003,두산,32,P,12,0,12,2,0,0,1,1,0,1,16.2,18,22,22.0,86,26,,,3,5,1,1,9,,0,0,9.72,11.88,11.88,4.9,1.86,-0.53
1554,이상훈,1971년 03월 21일,우투우타,경북고,90 삼성 고졸연고 지명,2004,롯데,33,P,2,0,2,2,0,0,0,0,0,0,3.0,3,3,3.0,15,7,,,1,0,0,0,2,,0,1,9.0,9.0,9.0,5.68,2.33,-0.06
1608,조규제,1967년 10월 07일,좌투좌타,군산중-군산상고-연세대,91 쌍방울 1차,2000,현대,33,P,9,0,9,1,0,0,0,0,0,3,4.1,1,1,1.0,17,2,,,0,2,0,0,4,,0,0,2.08,2.08,2.08,2.75,0.92,0.21
1608,조규제,1967년 10월 07일,좌투좌타,군산중-군산상고-연세대,91 쌍방울 1차,2001,SK,34,P,46,10,36,22,0,0,8,9,9,3,106.1,42,45,45.0,427,90,,,12,35,3,6,75,,1,5,3.55,3.81,3.81,4.05,1.18,2.96
